row	column	cor	p
SPORDER	AGEP	-0.293173	0.000000
SPORDER	COW	-0.100016	0.000000
AGEP	COW	0.167515	0.000000
SPORDER	HINS1	0.062923	0.000000
AGEP	HINS1	-0.007069	0.000000
COW	HINS1	0.123054	0.000000
SPORDER	HINS2	0.019603	0.000000
AGEP	HINS2	-0.086019	0.000000
COW	HINS2	-0.129678	0.000000
HINS1	HINS2	-0.377635	0.000000
SPORDER	HINS3	0.083533	0.000000
AGEP	HINS3	-0.452456	0.000000
COW	HINS3	-0.092171	0.000000
HINS1	HINS3	-0.186574	0.000000
HINS2	HINS3	0.138574	0.000000
SPORDER	HINS4	-0.070843	0.000000
AGEP	HINS4	0.097785	0.000000
COW	HINS4	0.016830	0.000000
HINS1	HINS4	-0.380249	0.000000
HINS2	HINS4	-0.052403	0.000000
HINS3	HINS4	0.030156	0.000000
SPORDER	HINS5	0.035456	0.000000
AGEP	HINS5	0.009494	0.000000
COW	HINS5	-0.113706	0.000000
HINS1	HINS5	-0.131437	0.000000
HINS2	HINS5	-0.011879	0.000000
HINS3	HINS5	0.037788	0.000000
HINS4	HINS5	-0.021864	0.000000
SPORDER	HINS6	0.039489	0.000000
AGEP	HINS6	-0.083030	0.000000
COW	HINS6	-0.041993	0.000000
HINS1	HINS6	-0.039616	0.000000
HINS2	HINS6	0.018353	0.000000
HINS3	HINS6	0.100026	0.000000
HINS4	HINS6	-0.005732	0.000000
HINS5	HINS6	0.210638	0.000000
SPORDER	JWMNP	0.003464	0.000043
AGEP	JWMNP	0.036102	0.000000
COW	JWMNP	-0.032978	0.000000
HINS1	JWMNP	-0.051776	0.000000
HINS2	JWMNP	0.031754	0.000000
HINS3	JWMNP	0.029640	0.000000
HINS4	JWMNP	0.019133	0.000000
HINS5	JWMNP	0.016350	0.000000
HINS6	JWMNP	-0.009536	0.000000
SPORDER	JWTR	-0.006547	0.000000
AGEP	JWTR	-0.081878	0.000000
COW	JWTR	0.020878	0.000000
HINS1	JWTR	0.067353	0.000000
HINS2	JWTR	-0.015707	0.000000
HINS3	JWTR	0.003309	0.000093
HINS4	JWTR	-0.051980	0.000000
HINS5	JWTR	-0.021318	0.000000
HINS6	JWTR	0.008062	0.000000
JWMNP	JWTR	-0.014130	0.000000
SPORDER	MAR	0.232288	0.000000
AGEP	MAR	-0.472504	0.000000
COW	MAR	-0.124272	0.000000
HINS1	MAR	0.130139	0.000000
HINS2	MAR	0.001469	0.082705
HINS3	MAR	0.097110	0.000000
HINS4	MAR	-0.118330	0.000000
HINS5	MAR	0.032043	0.000000
HINS6	MAR	0.034464	0.000000
JWMNP	MAR	-0.046231	0.000000
JWTR	MAR	0.111652	0.000000
SPORDER	MIG	0.005812	0.000000
AGEP	MIG	-0.225297	0.000000
COW	MIG	-0.038238	0.000000
HINS1	MIG	0.044460	0.000000
HINS2	MIG	0.009201	0.000000
HINS3	MIG	0.065207	0.000000
HINS4	MIG	-0.028711	0.000000
HINS5	MIG	-0.042000	0.000000
HINS6	MIG	0.002457	0.003707
JWMNP	MIG	-0.014671	0.000000
JWTR	MIG	0.067533	0.000000
MAR	MIG	0.160118	0.000000
SPORDER	MIL	0.019066	0.000000
AGEP	MIL	-0.036879	0.000000
COW	MIL	-0.098327	0.000000
HINS1	MIL	-0.058714	0.000000
HINS2	MIL	-0.009624	0.000000
HINS3	MIL	0.091373	0.000000
HINS4	MIL	-0.019494	0.000000
HINS5	MIL	0.405001	0.000000
HINS6	MIL	0.396847	0.000000
JWMNP	MIL	0.003479	0.000040
JWTR	MIL	-0.013782	0.000000
MAR	MIL	0.022541	0.000000
MIG	MIL	-0.011849	0.000000
SPORDER	SCH	0.139719	0.000000
AGEP	SCH	-0.343950	0.000000
COW	SCH	-0.053832	0.000000
HINS1	SCH	0.019298	0.000000
HINS2	SCH	-0.025723	0.000000
HINS3	SCH	0.072455	0.000000
HINS4	SCH	-0.043142	0.000000
HINS5	SCH	-0.021462	0.000000
HINS6	SCH	0.008518	0.000000
JWMNP	SCH	-0.056473	0.000000
JWTR	SCH	0.104104	0.000000
MAR	SCH	0.259136	0.000000
MIG	SCH	0.081146	0.000000
MIL	SCH	-0.047274	0.000000
SPORDER	SEX	0.000756	0.371589
AGEP	SEX	-0.010802	0.000000
COW	SEX	-0.032282	0.000000
HINS1	SEX	-0.015631	0.000000
HINS2	SEX	-0.000693	0.413146
HINS3	SEX	0.009537	0.000000
HINS4	SEX	-0.041400	0.000000
HINS5	SEX	0.034653	0.000000
HINS6	SEX	0.088975	0.000000
JWMNP	SEX	-0.070943	0.000000
JWTR	SEX	-0.015663	0.000000
MAR	SEX	0.032831	0.000000
MIG	SEX	0.003171	0.000180
MIL	SEX	0.170416	0.000000
SCH	SEX	0.057162	0.000000
SPORDER	WKHP	-0.136508	0.000000
AGEP	WKHP	0.077966	0.000000
COW	WKHP	0.035265	0.000000
HINS1	WKHP	-0.165074	0.000000
HINS2	WKHP	0.058133	0.000000
HINS3	WKHP	0.165421	0.000000
HINS4	WKHP	0.150538	0.000000
HINS5	WKHP	-0.023946	0.000000
