selection1_name,selection1_id
Borussia Dortmund,22
FC Barcelona,241
Manchester United,11
Liverpool,9
Manchester City,10
Real Madrid,243
Chelsea,5
FC Bayern München,21
Milan,47
Paris Saint-Germain,73
RB Leipzig,112172
Arsenal,1
Inter,44
Ajax,245
Wolverhampton Wanderers,110
Getafe CF,1860
Sheffield United,1794
Valencia CF,461
Norwich City,1792
Tottenham Hotspur,18
Juventus,45
Olympique Lyonnais,66
Leicester City,95
AZ Alkmaar,1906
Atlético Madrid,240
Bayer 04 Leverkusen,32
Roma,52
Hertha BSC,166
Everton,7
SL Benfica,234
Southampton,17
Aston Villa,2
AS Monaco,69
Borussia Mönchengladbach,23
FC Schalke 04,34
Napoli,48
Real Betis,449
Leeds United,8
Lazio,46
West Ham United,19
Atalanta,39
Real Sociedad,457
Villarreal CF,483
Newcastle United,13
FC Red Bull Salzburg,191
River Plate,1876
Stade Rennais FC,74
West Bromwich Albion,109
Eintracht Frankfurt,1824
Nottingham Forest,14
Sevilla FC,481
Hamburger SV,28
SV Werder Bremen,38
LOSC Lille,65
Olympique de Marseille,219
Birmingham City,88
VfL Wolfsburg,175
Famalicão,112809
Fiorentina,110374
Burnley,1796
Fulham,144
Club América,1879
Brescia,190
Athletic Club de Bilbao,448
PSV,247
FC Porto,236
TSG 1899 Hoffenheim,10029
Crystal Palace,1799
Bologna,189
Watford,1795
Bournemouth,1943
Boca Juniors,1877
Celtic,78
Sporting CP,237
São Paulo,598
1. FC Köln,31
Brentford,1925
RSC Anderlecht,229
Brighton & Hove Albion,1808
Hull City,1952
Amiens SC,1816
Sunderland,106
Swansea City,1960
Genoa,110556
Bayern München II,110679
Salford City,113926
Derby County,91
Fenerbahçe SK,326
Houston Dynamo,698
OGC Nice,72
Stoke City,1806
Fortuna Düsseldorf,110636
RCD Espanyol,452
RC Celta,450
Hellas Verona,206
Real Valladolid CF,462
U.N.A.M.,1881
VfB Stuttgart,36
1. FC Union Berlin,1831
Galatasaray SK,325
Queens Park Rangers,15
Middlesbrough,12
Racing Club,101085
SC Braga,1896
Hannover 96,485
Feyenoord,246
Sassuolo,111974
Cagliari,1842
Portsmouth,1790
RCD Mallorca,453
Bristol City,1919
Parma,50
1. FSV Mainz 05,169
Huddersfield Town,1939
Club Brugge KV,231
Pachuca,110147
Italy,1343
AS Saint-Étienne,1819
Netherlands,105035
Norway,1352
England,1318
FC Girondins de Bordeaux,59
Blackburn Rovers,3
Deportivo Alavés,463
FC Augsburg,100409
Deportivo de La Coruña,242
Lecce,347
SC Freiburg,25
Cardiff City,1961
Spain,1362
Rangers FC,86
Beşiktaş JK,327
France,1335
Vélez Sarsfield,101088
Independiente,110093
Málaga CF,573
Germany,1337
Levante UD,1853
Argentina,1369
Portugal,1354
MKE Ankaragücü,101007
Monterrey,1032
Tigres U.A.N.L.,1970
SC Paderborn 07,10030
Los Angeles FC,112996
Atlanta United,112885
LA Galaxy,697
Real Zaragoza,244
Sampdoria,1837
Sheffield Wednesday,1807
Shakhtar Donetsk,101059
UD Las Palmas,472
Trabzonspor,436
Girona FC,110062
Cruz Azul,1878
Brazil,1370
KRC Genk,673
Granada CF,110832
FC Nantes,71
Luton Town,1923
Preston North End,1801
Bolton Wanderers,4
Peterborough United,1938
SPAL,112791
Mexico,1386
Toulouse Football Club,1809
FC Twente,1908
DSC Arminia Bielefeld,159
Portland Timbers,111140
Barnsley,1932
Wigan Athletic,1917
Guadalajara,1880
Udinese,55
KAA Gent,674
Reading,1793
Montpellier HSC,70
SD Eibar,467
Canada,111455
RC Strasbourg Alsace,76
1. FC Nürnberg,171
Vitória Guimarães,1887
FC Basel 1893,896
Ipswich Town,94
Charlton Athletic,89
FC Lorient,217
San Lorenzo de Almagro,1013
CA Osasuna,479
Legia Warszawa,1871
